title|publisher|eissn|pissn|doajid|categories|language
Physics Letters B|Elsevier|1873-2445|0370-2693|e17980871dd5421fbdeaa958fa2bdb3d|Physics|EN
Processing and Application of Ceramics|University of Novi Sad|2406-1034|1820-6131|5ac40b2234c64a14a7081df42f8c5763|Clay industries. Ceramics. Glass|EN
Progress in Natural Science: Materials International|Elsevier||1002-0071|2a2cd4ed907347f9a096a9ed76bc0504|Materials of engineering and construction. Mechanics of materials|EN
Progress of Theoretical and Experimental Physics|Oxford University Press|2050-3911||1572adf631fd4b06bd8638799241a8b8|Physics|EN
Pteridines|De Gruyter|2195-4720|0933-4807|c7978d21ff8841db8ac6554bbe77928e|Crystallography|EN
Quantum|Verein zur Förderung des Open Access Publizierens in den Quantenwissenschaften|2521-327X||1acfa7631c61425d9d56579b20428a3a|Physics|EN
Quantum Beam Science|MDPI AG|2412-382X||e42de4e2ef854bccbff413a33b2bd022|Technology#Electrical engineering. Electronics. Nuclear engineering|EN
Results in Physics|Elsevier|2211-3797||05bc417b294d4dfab69f3b312452fca8|Physics|EN
Revista Cubana de Física|Universidad de La Habana; Sociedad Cubana de Física|2224-7939|0253-9268|4532f599d6224b73924037eb068666d0|Physics|EN#ES
Science and Technology of Advanced Materials|Taylor & Francis Group|1878-5514|1468-6996|0d413f5384be44c3a33afc9448213acb|Materials of engineering and construction. Mechanics of materials#Biotechnology|EN
SciPost Physics|SciPost|2542-4653||bd93f82aa7ee4354a00dbac12339a6cc|Physics|EN
Semiconductor Physics, Quantum Electronics & Optoelectronics |National Academy of Sciences of Ukraine. Institute of Semi conductor physics. |1605-6582|1560-8034|faf3b7c220d24549a78414f8e7cff3ae|Physics|EN
Serbian Astronomical Journal|Astronomical Observatory, Department of Astronomy, Belgrade|1820-9289|1450-698X|4edbf6a89a504239a83a05e944f31726|Astronomy|EN
Solar-Terrestrial Physics|INFRA-M |2500-0535||9d17a083ee224453a16d086485ebaf6b|Astrophysics|EN
Solid Earth|Copernicus Publications|1869-9529|1869-9510|cb623c4a248d46789196bfe25dcd069c|Geology#Stratigraphy|EN
